Monoxide,Benzene
1360,11.9
1292,9.4
1402,9
1376,9.2
1272,6.5
1197,4.7
1185,3.6
1136,3.3
1094,2.3
1010,1.7
1066,1.1
1052,1.6
1144,3.2
1333,8
1351,9.5
1233,6.3
1179,5
1236,5.2
1286,7.3
1371,11.5
1310,8.8
1292,8.3
1383,11.2
1581,20.8
1776,27.4
1640,24
1313,12.8
965,4.7
913,2.6
1080,5.9
1044,6.4
988,4.1
889,1.9
847,1
927,1.8
1091,4.4
1587,17.9
1350,14
1263,11.6
1206,10.2
1252,11
1287,12.8
1353,14.2
1309,12.7
1274,11.7
1510,19.3
1525,18.2
1843,32.6
1598,20.1
1484,14.3
1677,21.8
1280,9.6
1196,7.4
1184,5.4
1172,5.4
978,2.6
1100,2.9
1112,5.1
1336,11.8
1408,15.1
1447,12.9
1542,16.1
1451,14
1328,12.3
1207,8.6
1240,9.2
1306,10.2
1326,10.6
1473,15.5
1609,19.6
1611,19.2
1621,18.3
1444,13.1
1418,10.9
1534,11
1484,11.9
1367,8.6
1344,9.7
1062,3.7
1076,2.5
1028,2.4
1155,4.2
1235,6.4
1332,8.6
1445,10.9
1416,10.7
1281,7.5
1207,7.5
1258,8.2
1458,11.9
1438,12
1478,12.2
1808,20.6
1898,23.1
1560,14.7
1324,9
1349,8.8
1239,7.4
1239,6.9
1224,7
1078,4.4
1075,3.9
1157,6.4
1314,9.7
1797,25.9
1961,36.7
1771,26.6
1564,20.1
1430,14.1
1417,14.9
1400,15.4
1317,12.1
1318,11.5
1445,14.8
1917,32.1
2040,39.2
1895,31
1595,19.9
1439,15.3
1142,6.9
1304,11.1
1074,5.4
968,2.8
929,2.3
941,2.6
937,2
1017,3.5
1171,5.1
1541,16.2
1539,19.7
1735,25.1
1571,20
1452,18.3
1579,22.3
1466,20.4
1280,14.6
1407,16.6
1389,15.8
1447,17.8
1551,19.1
1474,15.8
1800,24.9
1379,13.5
1201,9.1
1205,8.6
1072,5.4
998,4.1
933,2.6
869,1.6
891,1.9
1173,7.5
1587,21.4
1852,36.4
1522,21.3
1438,15.4
1393,12.5
1452,15.1
1389,13.7
1207,10.4
1365,15.2
1247,12.3
1557,27
1973,38.4
1975,35.1
1795,27.2
1444,15
1488,15.7
1371,13
1161,8.1
1064,5.5
970,3.6
931,2.5
938,3
1166,7.7
1643,23.3
1934,35.8
1617,21.3
1473,14.3
1379,12.5
1385,12.2
1379,13.1
1322,14.4
1496,16.8
1409,14.5
1513,21.5
1667,26.4
1667,26
1430,14.1
1333,10.3
1262,8.3
1287,8.9
1134,6.6
999,3.6
961,2.5
913,1.3
969,2.3
1182,6.7
1740,22.8
1819,31.3
1427,19.2
1390,16.4
1283,14
1304,15.3
1364,16.7
1410,19
1476,19.4
1522,20.9
1442,20.2
1469,21.7
1467,19.8
1421,16.7
1175,9.1
1215,8.3
1127,5.8
1090,5.2
1017,4.1
997,3.4
956,3.1
966,2.5
1064,4.3
1300,8.9
1348,10.5
1425,12.5
1474,12.3
1490,11.7
1495,11.7
1376,9.3
1305,7.6
1283,6.7
1392,9.7
1452,12.4
1633,16.6
1625,16.4
1535,13.7
1323,9.9
1309,8.9
1456,10.6
1300,7.4
1203,6.2
1195,6.5
1062,4
947,2.1
1065,3.6
1155,4.4
1220,5.4
1301,7.1
1279,7.3
1267,7.6
1239,6.8
1128,4.6
1243,8.4
1208,6.9
1306,9
1546,15.1
1501,12.6
1605,15.1
1316,9.9
1195,8
1211,7.9
1161,6.1
1095,5.1
897,1.7
842,0.7
845,0.7
942,2
1090,5.1
1514,17.7
1379,18.4
1074,6.9
1090,7.3
1110,9.6
1102,10.4
1100,11.2
1094,10.7
1076,11.6
